MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
要开始，请键入以下项之一: helpwin、helpdesk 或 demo。
有关产品信息，请访问 www.mathworks.com。
 

initres =

    9.6564

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
时间已过 100.745969 秒。
时间已过 89.958816 秒。
时间已过 96.719065 秒。
时间已过 94.434609 秒。
时间已过 102.146524 秒。
时间已过 99.990867 秒。
时间已过 100.244658 秒。
时间已过 98.664135 秒。
时间已过 92.265112 秒。
时间已过 87.070204 秒。
时间已过 94.176979 秒。
时间已过 86.468825 秒。
时间已过 94.281637 秒。
时间已过 94.920027 秒。
时间已过 89.725164 秒。
时间已过 90.089370 秒。
时间已过 107.273428 秒。
时间已过 92.908982 秒。
时间已过 96.405676 秒。
时间已过 90.948213 秒。
时间已过 105.724333 秒。
时间已过 105.017850 秒。
时间已过 106.239201 秒。
时间已过 97.927498 秒。
时间已过 93.416159 秒。
时间已过 93.977990 秒。
时间已过 99.330455 秒。
时间已过 92.057432 秒。
时间已过 95.265999 秒。
时间已过 92.887153 秒。
时间已过 99.681183 秒。
时间已过 108.816685 秒。
时间已过 106.294136 秒。
时间已过 103.022332 秒。
时间已过 100.298155 秒。
时间已过 106.745152 秒。
时间已过 97.834625 秒。
时间已过 99.294857 秒。
时间已过 95.438447 秒。
时间已过 87.932621 秒。
时间已过 87.406921 秒。
时间已过 100.352582 秒。
时间已过 97.054899 秒。
时间已过 101.148450 秒。
时间已过 107.393297 秒。
时间已过 94.328631 秒。
时间已过 100.431099 秒。
时间已过 100.244268 秒。
时间已过 102.424037 秒。
时间已过 87.844019 秒。
时间已过 91.863512 秒。
时间已过 97.502723 秒。
时间已过 102.831821 秒。
时间已过 93.501118 秒。
时间已过 98.986436 秒。
时间已过 88.946599 秒。
时间已过 87.455100 秒。
时间已过 100.091004 秒。
时间已过 93.643286 秒。
时间已过 96.018067 秒。
时间已过 98.331160 秒。
时间已过 96.537594 秒。
时间已过 99.921024 秒。
时间已过 104.552113 秒。
时间已过 101.981161 秒。
时间已过 93.291522 秒。
时间已过 101.144234 秒。
时间已过 97.922667 秒。
时间已过 98.768999 秒。
时间已过 108.375710 秒。
时间已过 113.295470 秒。
时间已过 108.061527 秒。
时间已过 92.117864 秒。
时间已过 91.626527 秒。
时间已过 106.063376 秒。
时间已过 98.974647 秒。
时间已过 93.169992 秒。
时间已过 102.437079 秒。
时间已过 103.672749 秒。
时间已过 92.079904 秒。
时间已过 116.998066 秒。
时间已过 98.002196 秒。
时间已过 112.141104 秒。
时间已过 103.879204 秒。
时间已过 90.799796 秒。
时间已过 107.355160 秒。
时间已过 100.748145 秒。
时间已过 88.811837 秒。
时间已过 97.773313 秒。
时间已过 87.187056 秒。
时间已过 89.813978 秒。
时间已过 93.235686 秒。
时间已过 97.580100 秒。
时间已过 84.261940 秒。
时间已过 92.402562 秒。
时间已过 105.123430 秒。
时间已过 89.087573 秒。
时间已过 92.360471 秒。
时间已过 100.834713 秒。
时间已过 95.336899 秒。
