MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

    9.6389

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 60.938102 seconds.
Elapsed time is 59.879877 seconds.
Elapsed time is 60.102881 seconds.
Elapsed time is 59.629354 seconds.
Elapsed time is 60.287584 seconds.
Elapsed time is 62.357840 seconds.
Elapsed time is 61.571993 seconds.
Elapsed time is 65.707200 seconds.
Elapsed time is 59.253523 seconds.
Elapsed time is 59.490426 seconds.
Elapsed time is 58.982054 seconds.
Elapsed time is 59.308633 seconds.
Elapsed time is 58.970950 seconds.
Elapsed time is 58.353658 seconds.
Elapsed time is 57.883682 seconds.
Elapsed time is 57.645265 seconds.
Elapsed time is 57.816267 seconds.
Elapsed time is 57.602134 seconds.
Elapsed time is 57.419804 seconds.
Elapsed time is 57.620400 seconds.
Elapsed time is 57.388963 seconds.
Elapsed time is 57.874473 seconds.
Elapsed time is 57.402973 seconds.
Elapsed time is 57.377699 seconds.
Elapsed time is 57.456931 seconds.
Elapsed time is 57.292276 seconds.
Elapsed time is 57.158473 seconds.
Elapsed time is 57.302076 seconds.
Elapsed time is 57.429436 seconds.
Elapsed time is 57.442870 seconds.
Elapsed time is 57.333675 seconds.
Elapsed time is 57.038961 seconds.
Elapsed time is 57.014783 seconds.
Elapsed time is 57.110153 seconds.
Elapsed time is 57.111722 seconds.
Elapsed time is 57.170411 seconds.
Elapsed time is 57.285825 seconds.
Elapsed time is 57.274533 seconds.
Elapsed time is 57.183895 seconds.
Elapsed time is 57.007809 seconds.
Elapsed time is 57.231278 seconds.
Elapsed time is 57.064702 seconds.
Elapsed time is 57.404545 seconds.
Elapsed time is 57.105388 seconds.
Elapsed time is 56.925563 seconds.
Elapsed time is 57.320636 seconds.
Elapsed time is 56.897611 seconds.
Elapsed time is 57.879385 seconds.
Elapsed time is 58.263294 seconds.
Elapsed time is 58.778562 seconds.
Elapsed time is 58.730719 seconds.
Elapsed time is 58.254445 seconds.
Elapsed time is 58.532851 seconds.
Elapsed time is 57.929698 seconds.
Elapsed time is 58.614677 seconds.
Elapsed time is 58.948545 seconds.
Elapsed time is 58.646476 seconds.
Elapsed time is 57.953512 seconds.
Elapsed time is 58.447204 seconds.
Elapsed time is 58.314343 seconds.
Elapsed time is 58.354994 seconds.
Elapsed time is 58.860855 seconds.
Elapsed time is 58.190085 seconds.
Elapsed time is 58.309835 seconds.
Elapsed time is 58.532136 seconds.
Elapsed time is 58.932766 seconds.
Elapsed time is 58.018712 seconds.
Elapsed time is 58.143807 seconds.
Elapsed time is 58.323451 seconds.
Elapsed time is 57.687973 seconds.
Elapsed time is 58.685311 seconds.
Elapsed time is 59.183091 seconds.
Elapsed time is 58.807129 seconds.
Elapsed time is 58.533310 seconds.
Elapsed time is 58.752354 seconds.
Elapsed time is 58.896435 seconds.
Elapsed time is 58.320246 seconds.
Elapsed time is 58.121372 seconds.
Elapsed time is 58.917350 seconds.
Elapsed time is 58.598694 seconds.
Elapsed time is 59.022663 seconds.
Elapsed time is 58.450050 seconds.
Elapsed time is 58.649003 seconds.
Elapsed time is 58.281225 seconds.
Elapsed time is 58.176420 seconds.
Elapsed time is 57.807888 seconds.
Elapsed time is 58.261218 seconds.
Elapsed time is 58.144375 seconds.
Elapsed time is 57.679037 seconds.
Elapsed time is 58.024195 seconds.
Elapsed time is 58.059444 seconds.
Elapsed time is 57.579446 seconds.
Elapsed time is 57.642881 seconds.
Elapsed time is 57.526417 seconds.
Elapsed time is 57.260935 seconds.
Elapsed time is 57.285892 seconds.
Elapsed time is 57.367461 seconds.
Elapsed time is 57.237510 seconds.
Elapsed time is 57.658441 seconds.
Elapsed time is 57.528526 seconds.
Elapsed time is 57.486503 seconds.
Elapsed time is 57.041726 seconds.
Elapsed time is 57.552327 seconds.
Elapsed time is 57.367426 seconds.
Elapsed time is 57.234904 seconds.
Elapsed time is 57.221597 seconds.
Elapsed time is 57.140487 seconds.
Elapsed time is 57.188127 seconds.
Elapsed time is 57.132971 seconds.
Elapsed time is 57.064159 seconds.
Elapsed time is 57.145105 seconds.
Elapsed time is 56.970408 seconds.
Elapsed time is 57.154987 seconds.
Elapsed time is 57.042266 seconds.
Elapsed time is 57.194470 seconds.
Elapsed time is 57.241980 seconds.
Elapsed time is 57.145763 seconds.
Elapsed time is 57.070136 seconds.
Elapsed time is 57.208998 seconds.
Elapsed time is 57.157807 seconds.
Elapsed time is 57.020713 seconds.
Elapsed time is 57.334435 seconds.
Elapsed time is 57.212826 seconds.
Elapsed time is 57.006863 seconds.
Elapsed time is 57.276146 seconds.

                                        First-Order                    Norm of 
 Iteration  Func-count    Residual       optimality      Lambda           step
     0         125         7365.88        7.23e+06         0.01
Elapsed time is 57.037563 seconds.
Elapsed time is 57.106178 seconds.
Elapsed time is 56.964022 seconds.
Elapsed time is 56.950012 seconds.
Elapsed time is 56.865797 seconds.
Elapsed time is 57.252870 seconds.
Elapsed time is 56.988914 seconds.
Elapsed time is 57.076906 seconds.
Elapsed time is 56.953378 seconds.
Elapsed time is 57.052000 seconds.
Elapsed time is 57.162806 seconds.
Elapsed time is 57.288252 seconds.
Elapsed time is 57.246672 seconds.
Elapsed time is 57.078510 seconds.
Elapsed time is 57.145996 seconds.
Elapsed time is 57.121877 seconds.
Elapsed time is 57.117282 seconds.
Elapsed time is 57.059785 seconds.
Elapsed time is 56.940511 seconds.
Elapsed time is 57.198367 seconds.
Elapsed time is 57.034285 seconds.
Elapsed time is 57.125204 seconds.
Elapsed time is 57.232164 seconds.
Elapsed time is 57.045732 seconds.
Elapsed time is 57.095457 seconds.
Elapsed time is 57.025432 seconds.
Elapsed time is 56.942495 seconds.
Elapsed time is 57.313188 seconds.
Elapsed time is 56.936750 seconds.
Elapsed time is 56.911951 seconds.
Elapsed time is 56.956895 seconds.
Elapsed time is 57.309423 seconds.
Elapsed time is 57.266923 seconds.
Elapsed time is 57.199433 seconds.
Elapsed time is 56.943592 seconds.
Elapsed time is 57.282951 seconds.
Elapsed time is 57.189293 seconds.
Elapsed time is 57.001239 seconds.
Elapsed time is 56.955637 seconds.
Elapsed time is 57.029963 seconds.
Elapsed time is 57.230702 seconds.
