MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
connected to 28 workers.
Elapsed time is 62.651167 seconds.
Elapsed time is 60.696604 seconds.
Elapsed time is 60.392075 seconds.
Elapsed time is 60.815017 seconds.
Elapsed time is 60.118242 seconds.
Elapsed time is 61.113703 seconds.
Elapsed time is 59.302408 seconds.
Elapsed time is 60.537431 seconds.
Elapsed time is 59.705942 seconds.
Elapsed time is 59.347859 seconds.
Elapsed time is 60.400278 seconds.
Elapsed time is 59.171836 seconds.
Elapsed time is 60.070566 seconds.
Elapsed time is 59.293032 seconds.
Elapsed time is 59.309074 seconds.
Elapsed time is 59.285865 seconds.
Elapsed time is 60.627250 seconds.
Elapsed time is 58.935053 seconds.
Elapsed time is 58.650272 seconds.
Elapsed time is 59.648285 seconds.
Elapsed time is 58.991415 seconds.
Elapsed time is 59.253704 seconds.
Elapsed time is 58.739271 seconds.
Elapsed time is 69.272563 seconds.
Elapsed time is 65.987935 seconds.
Elapsed time is 81.773312 seconds.
Elapsed time is 67.672121 seconds.
Elapsed time is 73.815458 seconds.
Elapsed time is 75.802853 seconds.
Elapsed time is 68.354019 seconds.
Elapsed time is 65.009593 seconds.
Elapsed time is 75.801608 seconds.
Elapsed time is 67.352359 seconds.
Elapsed time is 70.098012 seconds.
Elapsed time is 76.058531 seconds.
Elapsed time is 74.427745 seconds.
Elapsed time is 66.362415 seconds.
Elapsed time is 69.898344 seconds.
Elapsed time is 75.385450 seconds.
Elapsed time is 76.050804 seconds.
Elapsed time is 72.084963 seconds.
Elapsed time is 70.228690 seconds.
Elapsed time is 75.430696 seconds.
Elapsed time is 74.884140 seconds.
Elapsed time is 70.669365 seconds.
Elapsed time is 67.717659 seconds.
Elapsed time is 73.956789 seconds.
Elapsed time is 77.732332 seconds.
Elapsed time is 73.751029 seconds.
Elapsed time is 77.103338 seconds.
Elapsed time is 66.655412 seconds.
Elapsed time is 68.517845 seconds.
Elapsed time is 70.678750 seconds.
Elapsed time is 71.772543 seconds.
Elapsed time is 78.464996 seconds.
Elapsed time is 69.475849 seconds.
Elapsed time is 68.173495 seconds.
Elapsed time is 72.095269 seconds.
Elapsed time is 64.099185 seconds.
Elapsed time is 62.741727 seconds.
Elapsed time is 64.223032 seconds.
Elapsed time is 67.563342 seconds.
Elapsed time is 60.993415 seconds.
Elapsed time is 60.733900 seconds.
Elapsed time is 61.568366 seconds.
Elapsed time is 59.545575 seconds.
Elapsed time is 59.924766 seconds.
Elapsed time is 59.403095 seconds.
Elapsed time is 59.763691 seconds.
Elapsed time is 59.267854 seconds.
Elapsed time is 59.083040 seconds.
Elapsed time is 59.315778 seconds.
Elapsed time is 59.104803 seconds.
Elapsed time is 59.062695 seconds.
Elapsed time is 58.422538 seconds.
Elapsed time is 59.532921 seconds.
Elapsed time is 58.626997 seconds.
Elapsed time is 58.742933 seconds.
Elapsed time is 58.486215 seconds.
Elapsed time is 58.639743 seconds.
Elapsed time is 58.585741 seconds.
Elapsed time is 59.231632 seconds.
Elapsed time is 58.419515 seconds.
Elapsed time is 58.692203 seconds.
Elapsed time is 58.645325 seconds.
Elapsed time is 58.594278 seconds.
Elapsed time is 61.376736 seconds.
Elapsed time is 75.983723 seconds.
Elapsed time is 72.949614 seconds.
Elapsed time is 74.728343 seconds.
Elapsed time is 70.947606 seconds.
Elapsed time is 68.052462 seconds.
Elapsed time is 73.577763 seconds.
Elapsed time is 73.656919 seconds.
Elapsed time is 75.854342 seconds.
Elapsed time is 75.182288 seconds.
Elapsed time is 76.008420 seconds.
Elapsed time is 74.177510 seconds.
Elapsed time is 70.998908 seconds.
Elapsed time is 76.247173 seconds.
Elapsed time is 71.379372 seconds.
Elapsed time is 76.766314 seconds.
Elapsed time is 75.673541 seconds.
Elapsed time is 70.264580 seconds.
Elapsed time is 70.441802 seconds.
Elapsed time is 71.196497 seconds.
Elapsed time is 77.333545 seconds.
Elapsed time is 77.811064 seconds.
Elapsed time is 75.848262 seconds.
Elapsed time is 68.529125 seconds.
Elapsed time is 67.757185 seconds.
Elapsed time is 68.997537 seconds.
Elapsed time is 71.415002 seconds.
Elapsed time is 73.391175 seconds.
Elapsed time is 73.370623 seconds.
Elapsed time is 69.554963 seconds.
Elapsed time is 69.929206 seconds.
Elapsed time is 70.215120 seconds.
Elapsed time is 73.945222 seconds.
Elapsed time is 73.988443 seconds.
Elapsed time is 72.572796 seconds.
Elapsed time is 63.328639 seconds.
Elapsed time is 62.346960 seconds.
Elapsed time is 62.415839 seconds.
Elapsed time is 63.082942 seconds.
Elapsed time is 60.854094 seconds.
Elapsed time is 62.076867 seconds.
Elapsed time is 60.351030 seconds.
Elapsed time is 61.678291 seconds.
Elapsed time is 60.265486 seconds.
Elapsed time is 60.221986 seconds.
Elapsed time is 60.610688 seconds.
Elapsed time is 59.411328 seconds.
Elapsed time is 59.710252 seconds.
Elapsed time is 60.225686 seconds.
Elapsed time is 60.764958 seconds.
Elapsed time is 59.555958 seconds.
Elapsed time is 59.618080 seconds.
Elapsed time is 59.066724 seconds.
Elapsed time is 59.012081 seconds.
Elapsed time is 58.913324 seconds.
Elapsed time is 59.217884 seconds.
Elapsed time is 59.140860 seconds.
Elapsed time is 59.302309 seconds.
Elapsed time is 59.611376 seconds.
Elapsed time is 59.441418 seconds.
Elapsed time is 59.965499 seconds.
Elapsed time is 58.938240 seconds.
Elapsed time is 58.896803 seconds.
Elapsed time is 58.871535 seconds.
Elapsed time is 62.342841 seconds.
Elapsed time is 70.563154 seconds.
Elapsed time is 74.138144 seconds.
Elapsed time is 70.874660 seconds.
Elapsed time is 65.107904 seconds.
Elapsed time is 68.099571 seconds.
Elapsed time is 77.411687 seconds.
Elapsed time is 65.801769 seconds.
Elapsed time is 69.903359 seconds.
Elapsed time is 76.181926 seconds.
Elapsed time is 76.787451 seconds.
Elapsed time is 76.669389 seconds.
Elapsed time is 71.155924 seconds.
Elapsed time is 75.881807 seconds.
Elapsed time is 68.448230 seconds.
Elapsed time is 67.800064 seconds.
Elapsed time is 67.816817 seconds.
Elapsed time is 70.012854 seconds.
Elapsed time is 73.448719 seconds.
Elapsed time is 73.336925 seconds.
Elapsed time is 65.782182 seconds.
